Driver,Team,GridPosition,Position,ClassifiedPosition,Status,Points,Race,Round
ANT,Mercedes,1.0,1.0,1,Finished,25.0,Monaco Grand Prix,6
HAM,Ferrari,3.0,2.0,2,Finished,18.0,Monaco Grand Prix,6
HAD,Red Bull Racing,5.0,3.0,3,Finished,15.0,Monaco Grand Prix,6
PIA,McLaren,7.0,4.0,4,Finished,12.0,Monaco Grand Prix,6
LAW,Racing Bulls,10.0,5.0,5,Finished,10.0,Monaco Grand Prix,6
LIN,Racing Bulls,15.0,6.0,6,Finished,8.0,Monaco Grand Prix,6
GAS,Alpine,9.0,7.0,7,Finished,6.0,Monaco Grand Prix,6
ALB,Williams,11.0,8.0,8,Finished,4.0,Monaco Grand Prix,6
OCO,Haas F1 Team,17.0,9.0,9,Finished,2.0,Monaco Grand Prix,6
ALO,Aston Martin,21.0,10.0,10,Finished,1.0,Monaco Grand Prix,6
BOR,Audi,16.0,11.0,11,Finished,0.0,Monaco Grand Prix,6
RUS,Mercedes,6.0,12.0,12,Finished,0.0,Monaco Grand Prix,6
HUL,Audi,13.0,13.0,13,Finished,0.0,Monaco Grand Prix,6
COL,Alpine,14.0,14.0,14,Finished,0.0,Monaco Grand Prix,6
PER,Cadillac,18.0,15.0,15,Finished,0.0,Monaco Grand Prix,6
SAI,Williams,12.0,16.0,16,Retired,0.0,Monaco Grand Prix,6
LEC,Ferrari,4.0,17.0,R,Retired,0.0,Monaco Grand Prix,6
STR,Aston Martin,22.0,18.0,R,Retired,0.0,Monaco Grand Prix,6
NOR,McLaren,8.0,19.0,R,Retired,0.0,Monaco Grand Prix,6
BEA,Haas F1 Team,19.0,20.0,R,Retired,0.0,Monaco Grand Prix,6
BOT,Cadillac,20.0,21.0,R,Retired,0.0,Monaco Grand Prix,6
VER,Red Bull Racing,2.0,22.0,R,Retired,0.0,Monaco Grand Prix,6
HAM,Ferrari,2.0,1.0,1,Finished,25.0,Barcelona Grand Prix,7
RUS,Mercedes,1.0,2.0,2,Finished,18.0,Barcelona Grand Prix,7
NOR,McLaren,4.0,3.0,3,Finished,15.0,Barcelona Grand Prix,7
VER,Red Bull Racing,5.0,4.0,4,Finished,12.0,Barcelona Grand Prix,7
PIA,McLaren,7.0,5.0,5,Finished,10.0,Barcelona Grand Prix,7
HAD,Red Bull Racing,6.0,6.0,6,Lapped,8.0,Barcelona Grand Prix,7
GAS,Alpine,14.0,7.0,7,Lapped,6.0,Barcelona Grand Prix,7
LAW,Racing Bulls,8.0,8.0,8,Lapped,4.0,Barcelona Grand Prix,7
LIN,Racing Bulls,11.0,9.0,9,Lapped,2.0,Barcelona Grand Prix,7
COL,Alpine,13.0,10.0,10,Lapped,1.0,Barcelona Grand Prix,7
BOR,Audi,12.0,11.0,11,Lapped,0.0,Barcelona Grand Prix,7
SAI,Williams,16.0,12.0,12,Lapped,0.0,Barcelona Grand Prix,7
OCO,Haas F1 Team,17.0,13.0,13,Lapped,0.0,Barcelona Grand Prix,7
PER,Cadillac,19.0,14.0,14,Lapped,0.0,Barcelona Grand Prix,7
LEC,Ferrari,10.0,15.0,15,Retired,0.0,Barcelona Grand Prix,7
ANT,Mercedes,3.0,16.0,16,Retired,0.0,Barcelona Grand Prix,7
BEA,Haas F1 Team,15.0,17.0,17,Retired,0.0,Barcelona Grand Prix,7
ALB,Williams,18.0,18.0,R,Lapped,0.0,Barcelona Grand Prix,7
ALO,Aston Martin,22.0,19.0,R,Retired,0.0,Barcelona Grand Prix,7
HUL,Audi,9.0,20.0,R,Retired,0.0,Barcelona Grand Prix,7
BOT,Cadillac,20.0,21.0,R,Retired,0.0,Barcelona Grand Prix,7
STR,Aston Martin,21.0,22.0,R,Retired,0.0,Barcelona Grand Prix,7
RUS,Mercedes,1.0,1.0,1,Finished,25.0,Austrian Grand Prix,8
VER,Red Bull Racing,5.0,2.0,2,Finished,18.0,Austrian Grand Prix,8
ANT,Mercedes,4.0,3.0,3,Finished,15.0,Austrian Grand Prix,8
PIA,McLaren,7.0,4.0,4,Finished,12.0,Austrian Grand Prix,8
HAM,Ferrari,3.0,5.0,5,Finished,10.0,Austrian Grand Prix,8
HAD,Red Bull Racing,8.0,6.0,6,Finished,8.0,Austrian Grand Prix,8
NOR,McLaren,6.0,7.0,7,Finished,6.0,Austrian Grand Prix,8
LEC,Ferrari,2.0,8.0,8,Finished,4.0,Austrian Grand Prix,8
LAW,Racing Bulls,9.0,9.0,9,Lapped,2.0,Austrian Grand Prix,8
LIN,Racing Bulls,10.0,10.0,10,Lapped,1.0,Austrian Grand Prix,8
BOR,Audi,12.0,11.0,11,Lapped,0.0,Austrian Grand Prix,8
HUL,Audi,14.0,12.0,12,Lapped,0.0,Austrian Grand Prix,8
GAS,Alpine,11.0,13.0,13,Lapped,0.0,Austrian Grand Prix,8
BEA,Haas F1 Team,13.0,14.0,14,Lapped,0.0,Austrian Grand Prix,8
