Race,Round,attacker,defender,attacking_team,defending_team,start_lap,end_lap,laps_in_contact,mean_advantage,min_gap,passed,reason,censored_strict,censored_loose
Belgian Grand Prix,10,ANT,LEC,Mercedes,Ferrari,29,32,4,0.2715000000000032,0.14100000000144064,True,pass,False,False
Belgian Grand Prix,10,BEA,ALB,Haas F1 Team,Williams,32,34,3,0.5734999999999957,0.1320000000005166,True,pass,False,False
Belgian Grand Prix,10,HAM,PIA,Ferrari,McLaren,11,12,2,0.465999999999994,0.3909999999999627,True,pass,False,False
Belgian Grand Prix,10,HUL,ALB,Audi,Williams,7,9,3,0.5784999999999911,0.6070000000000846,False,dropped_back,False,True
Belgian Grand Prix,10,HUL,ALB,Audi,Williams,11,12,2,0.5784999999999911,0.3710000000000946,True,pass,False,False
Belgian Grand Prix,10,LIN,BOR,Racing Bulls,Audi,24,24,1,0.166499999999985,1.4870000000005348,False,dropped_back,False,True
Belgian Grand Prix,10,LIN,BOR,Racing Bulls,Audi,33,35,3,0.166499999999985,0.3009999999999309,True,pass,False,False
Belgian Grand Prix,10,LIN,BOR,Racing Bulls,Audi,37,38,2,0.166499999999985,0.027000000000043656,True,pass,False,False
Belgian Grand Prix,10,LIN,BOR,Racing Bulls,Audi,40,42,3,0.166499999999985,0.0930000000007567,True,pass,False,False
Belgian Grand Prix,10,LIN,LAW,Racing Bulls,Racing Bulls,9,9,1,0.9089999999999918,0.6280000000000427,False,dropped_back,False,True
Belgian Grand Prix,10,LIN,LAW,Racing Bulls,Racing Bulls,12,12,1,0.9089999999999918,0.05700000000001637,False,pit,True,True
Belgian Grand Prix,10,NOR,BOR,McLaren,Audi,7,7,1,0.4749999999999943,0.5999999999999659,True,pass,False,False
Belgian Grand Prix,10,NOR,COL,McLaren,Alpine,9,9,1,1.1325000000000074,1.3690000000000282,False,dropped_back,False,True
Belgian Grand Prix,10,NOR,COL,McLaren,Alpine,11,12,2,1.1325000000000074,0.5150000000001,True,pass,False,False
Belgian Grand Prix,10,OCO,BOT,Haas F1 Team,Cadillac,8,8,1,2.112499999999997,1.3629999999999427,True,pass,False,False
British Grand Prix,9,ALO,STR,Aston Martin,Aston Martin,9,15,7,0.17749999999999488,0.7000000000000455,False,pit,True,True
British Grand Prix,9,BEA,BOT,Haas F1 Team,Cadillac,3,6,4,0.8729999999999905,0.7889999999999873,True,pass,False,False
British Grand Prix,9,BEA,PER,Haas F1 Team,Cadillac,13,18,6,0.1769999999999925,0.7490000000000236,False,pit,True,True
British Grand Prix,9,BOR,SAI,Audi,Williams,3,5,3,0.8075000000000045,0.4949999999999477,True,pass,False,False
British Grand Prix,9,COL,OCO,Alpine,Haas F1 Team,4,5,2,0.8000000000000114,0.5640000000000782,True,pass,False,False
British Grand Prix,9,COL,SAI,Alpine,Williams,7,9,3,0.7630000000000052,0.7070000000001073,True,pass,False,False
British Grand Prix,9,GAS,OCO,Alpine,Haas F1 Team,3,3,1,0.8625000000000114,0.5449999999999875,True,pass,False,False
British Grand Prix,9,GAS,SAI,Alpine,Williams,6,6,1,0.8255000000000052,0.5609999999999786,True,pass,False,False
British Grand Prix,9,HAD,LAW,Red Bull Racing,Racing Bulls,25,25,1,0.8900000000000006,1.21100000000024,True,pass,False,False
British Grand Prix,9,HAM,RUS,Ferrari,Mercedes,27,31,5,0.41899999999999693,0.2690000000006876,False,pit,True,True
British Grand Prix,9,HUL,BEA,Audi,Haas F1 Team,8,10,3,0.8359999999999985,0.6479999999999109,True,pass,False,False
British Grand Prix,9,HUL,BOT,Audi,Cadillac,7,7,1,1.708999999999989,1.3179999999999836,True,pass,False,False
British Grand Prix,9,HUL,PER,Audi,Cadillac,11,12,2,1.012999999999991,0.5589999999997417,True,pass,False,False
British Grand Prix,9,HUL,SAI,Audi,Williams,25,25,1,0.5079999999999956,1.0120000000006257,True,pass,False,False
British Grand Prix,9,HUL,STR,Audi,Aston Martin,4,4,1,2.944999999999993,0.5579999999999927,True,pass,False,False
British Grand Prix,9,OCO,BEA,Haas F1 Team,Haas F1 Team,35,36,2,0.2909999999999968,0.7769999999991342,False,neutralised,True,True
British Grand Prix,9,OCO,BEA,Haas F1 Team,Haas F1 Team,44,44,1,0.2909999999999968,1.3609999999998763,False,pit,True,True
British Grand Prix,9,OCO,PER,Haas F1 Team,Cadillac,26,27,2,0.4679999999999893,0.501999999999498,True,pass,False,False
British Grand Prix,9,PIA,ALO,McLaren,Aston Martin,15,15,1,3.7365000000000066,1.0080000000002656,True,pass,False,False
British Grand Prix,9,PIA,BEA,McLaren,Haas F1 Team,40,40,1,1.8050000000000068,0.283999999999196,True,pass,False,False
British Grand Prix,9,PIA,SAI,McLaren,Williams,28,28,1,1.4770000000000039,1.412000000000262,False,dropped_back,False,True
British Grand Prix,9,PIA,SAI,McLaren,Williams,30,31,2,1.4770000000000039,1.249000000000251,False,dropped_back,False,True
British Grand Prix,9,PIA,SAI,McLaren,Williams,33,33,1,1.4770000000000039,0.8400000000001455,True,pass,False,False
British Grand Prix,9,VER,HAD,Red Bull Racing,Red Bull Racing,3,3,1,0.6020000000000039,0.5180000000000007,True,pass,False,False
British Grand Prix,9,VER,RUS,Red Bull Racing,Mercedes,9,14,6,0.3259999999999934,0.9789999999998145,False,pit,True,True
Canadian Grand Prix,5,ANT,RUS,Mercedes,Mercedes,7,12,6,0.7605000000000075,0.8489999999999895,False,neutralised,True,True
Canadian Grand Prix,5,ANT,RUS,Mercedes,Mercedes,15,18,4,0.7605000000000075,0.4539999999999509,False,neutralised,True,True
Canadian Grand Prix,5,ANT,RUS,Mercedes,Mercedes,20,22,3,0.7605000000000075,0.14599999999995816,True,pass,False,False
Canadian Grand Prix,5,ANT,RUS,Mercedes,Mercedes,26,28,3,0.7605000000000075,0.20600000000013097,False,pit,True,True
Canadian Grand Prix,5,BOR,OCO,Audi,Haas F1 Team,26,27,2,0.9969999999999999,0.5919999999996435,True,pass,False,False
Canadian Grand Prix,5,BOR,STR,Audi,Aston Martin,11,11,1,2.7860000000000014,1.4379999999999882,True,pass,False,False
Canadian Grand Prix,5,GAS,ALO,Alpine,Aston Martin,4,6,3,3.1069999999999993,0.11200000000002319,True,pass,False,False
Canadian Grand Prix,5,GAS,LAW,Alpine,Racing Bulls,50,50,1,0.1529999999999916,1.258000000001175,False,neutralised,True,True
Canadian Grand Prix,5,GAS,LAW,Alpine,Racing Bulls,54,59,6,0.1529999999999916,0.6590000000023792,False,neutralised,True,True
Canadian Grand Prix,5,GAS,LAW,Alpine,Racing Bulls,61,67,7,0.1529999999999916,0.364000000003216,False,race_end,True,True
Canadian Grand Prix,5,HAM,RUS,Ferrari,Mercedes,3,6,4,0.3119999999999976,0.3020000000000209,False,dropped_back,False,True
Canadian Grand Prix,5,HUL,STR,Audi,Aston Martin,9,9,1,3.137999999999991,0.5040000000000191,True,pass,False,False
Canadian Grand Prix,5,NOR,ALO,McLaren,Aston Martin,8,8,1,3.451999999999998,0.9009999999999536,True,pass,False,False
Canadian Grand Prix,5,NOR,GAS,McLaren,Alpine,10,11,2,0.34499999999999886,0.5090000000000146,True,pass,False,False
Canadian Grand Prix,5,NOR,GAS,McLaren,Alpine,36,36,1,0.34499999999999886,0.8559999999988577,True,pass,False,False
Canadian Grand Prix,5,NOR,OCO,McLaren,Haas F1 Team,7,7,1,1.5309999999999917,0.045000000000015916,True,pass,False,False
Canadian Grand Prix,5,PIA,ALO,McLaren,Aston Martin,9,9,1,3.429000000000002,0.1959999999999127,True,pass,False,False
Canadian Grand Prix,5,PIA,BOR,McLaren,Audi,62,63,2,0.5109999999999957,0.6739999999990687,True,pass,False,False
Canadian Grand Prix,5,PIA,HUL,McLaren,Audi,64,64,1,0.15900000000000603,0.7549999999991996,True,pass,False,False
Canadian Grand Prix,5,SAI,ALO,Williams,Aston Martin,15,15,1,3.2900000000000063,0.6959999999996853,True,pass,False,False
Chinese Grand Prix,2,BEA,BOT,Haas F1 Team,Cadillac,15,15,1,2.2720000000000056,0.6329999999995835,True,pass,False,False
Chinese Grand Prix,2,BEA,COL,Haas F1 Team,Alpine,17,17,1,0.8875000000000028,0.17699999999967986,False,neutralised,True,True
Chinese Grand Prix,2,BEA,LIN,Haas F1 Team,Racing Bulls,7,7,1,1.0470000000000113,1.07000000000005,False,pit,True,True
Chinese Grand Prix,2,BEA,SAI,Haas F1 Team,Williams,3,6,4,1.230000000000004,0.4070000000000391,True,pass,False,False
Chinese Grand Prix,2,BOT,ALO,Cadillac,Aston Martin,3,6,4,0.5844999999999914,0.4149999999999636,True,pass,False,False
Chinese Grand Prix,2,COL,BOT,Alpine,Cadillac,36,36,1,1.3845000000000027,0.23299999999971988,True,pass,False,False
Chinese Grand Prix,2,HAD,BOT,Red Bull Racing,Cadillac,16,16,1,1.7289999999999992,0.24799999999959255,False,neutralised,True,True
Chinese Grand Prix,2,HAD,COL,Red Bull Racing,Alpine,24,25,2,0.3444999999999965,0.843000000000302,False,dropped_back,False,True
Chinese Grand Prix,2,HAD,COL,Red Bull Racing,Alpine,29,29,1,0.3444999999999965,0.8780000000001564,False,pit,True,True
Chinese Grand Prix,2,HAD,HUL,Red Bull Racing,Audi,22,23,2,0.34900000000000375,0.11299999999982901,True,pass,False,False
Chinese Grand Prix,2,HUL,BOT,Audi,Cadillac,3,3,1,1.3799999999999955,0.41700000000003,True,pass,False,False
Chinese Grand Prix,2,LAW,ALO,Racing Bulls,Aston Martin,14,14,1,2.3574999999999875,0.16499999999996362,True,pass,False,False
Chinese Grand Prix,2,LAW,COL,Racing Bulls,Alpine,3,5,3,0.3884999999999934,1.0759999999999934,False,dropped_back,False,True
Chinese Grand Prix,2,LAW,LIN,Racing Bulls,Racing Bulls,19,21,3,0.5480000000000018,0.7190000000000509,True,pass,False,False
Chinese Grand Prix,2,LAW,OCO,Racing Bulls,Haas F1 Team,6,6,1,0.36199999999999477,0.5390000000000441,False,pit,True,True
Chinese Grand Prix,2,OCO,PER,Haas F1 Team,Cadillac,34,34,1,1.633499999999998,1.2290000000002692,True,pass,False,False
