Season,RoundNumber,Race,Driver,grid_pos,Position,grid_rank,lap1_rank,change,field
2022,11,Austrian Grand Prix,MSC,9.0,8.0,8.0,8.0,0.0,18
2022,11,Austrian Grand Prix,VET,18.0,17.0,17.0,17.0,0.0,18
2022,11,Austrian Grand Prix,SAI,3.0,3.0,3.0,3.0,0.0,18
2022,11,Austrian Grand Prix,LAT,17.0,16.0,16.0,16.0,0.0,18
2022,11,Austrian Grand Prix,RUS,4.0,4.0,4.0,4.0,0.0,18
2022,12,French Grand Prix,VER,2.0,2.0,2.0,2.0,0.0,20
2022,12,French Grand Prix,GAS,14.0,15.0,14.0,15.0,-1.0,20
2022,12,French Grand Prix,PER,3.0,4.0,3.0,4.0,-1.0,20
2022,12,French Grand Prix,ALO,7.0,5.0,7.0,5.0,2.0,20
2022,12,French Grand Prix,LEC,1.0,1.0,1.0,1.0,0.0,20
2022,12,French Grand Prix,STR,15.0,10.0,15.0,10.0,5.0,20
2022,12,French Grand Prix,MAG,20.0,13.0,20.0,13.0,7.0,20
2022,12,French Grand Prix,TSU,8.0,20.0,8.0,20.0,-12.0,20
2022,12,French Grand Prix,ALB,13.0,12.0,13.0,12.0,1.0,20
2022,12,French Grand Prix,ZHO,16.0,19.0,16.0,19.0,-3.0,20
2022,12,French Grand Prix,RIC,9.0,8.0,9.0,8.0,1.0,20
2022,12,French Grand Prix,OCO,10.0,9.0,10.0,9.0,1.0,20
2022,12,French Grand Prix,NOR,5.0,7.0,5.0,7.0,-2.0,20
2022,12,French Grand Prix,HAM,4.0,3.0,4.0,3.0,1.0,20
2022,12,French Grand Prix,MSC,17.0,14.0,17.0,14.0,3.0,20
2022,12,French Grand Prix,VET,12.0,11.0,12.0,11.0,1.0,20
2022,12,French Grand Prix,SAI,19.0,18.0,19.0,18.0,1.0,20
2022,12,French Grand Prix,LAT,18.0,17.0,18.0,17.0,1.0,20
2022,12,French Grand Prix,RUS,6.0,6.0,6.0,6.0,0.0,20
2022,12,French Grand Prix,BOT,11.0,16.0,11.0,16.0,-5.0,20
2022,13,Hungarian Grand Prix,RUS,1.0,1.0,1.0,1.0,0.0,1
2022,14,Belgian Grand Prix,VER,14.0,8.0,12.0,8.0,4.0,17
2022,14,Belgian Grand Prix,PER,2.0,2.0,2.0,2.0,0.0,17
2022,14,Belgian Grand Prix,ALO,3.0,4.0,3.0,4.0,-1.0,17
2022,14,Belgian Grand Prix,LEC,15.0,10.0,13.0,10.0,3.0,17
2022,14,Belgian Grand Prix,STR,9.0,9.0,7.0,9.0,-2.0,17
2022,14,Belgian Grand Prix,MAG,12.0,11.0,10.0,11.0,-1.0,17
2022,14,Belgian Grand Prix,ALB,6.0,7.0,5.0,7.0,-2.0,17
2022,14,Belgian Grand Prix,ZHO,18.0,16.0,16.0,16.0,0.0,17
2022,14,Belgian Grand Prix,RIC,7.0,6.0,6.0,6.0,0.0,17
2022,14,Belgian Grand Prix,OCO,16.0,13.0,14.0,13.0,1.0,17
2022,14,Belgian Grand Prix,NOR,17.0,15.0,15.0,15.0,0.0,17
2022,14,Belgian Grand Prix,MSC,19.0,17.0,17.0,17.0,0.0,17
2022,14,Belgian Grand Prix,VET,10.0,5.0,8.0,5.0,3.0,17
2022,14,Belgian Grand Prix,SAI,1.0,1.0,1.0,1.0,0.0,17
2022,14,Belgian Grand Prix,LAT,11.0,12.0,9.0,12.0,-3.0,17
2022,14,Belgian Grand Prix,RUS,5.0,3.0,4.0,3.0,1.0,17
2022,14,Belgian Grand Prix,BOT,13.0,14.0,11.0,14.0,-3.0,17
2022,15,Dutch Grand Prix,VER,1.0,1.0,1.0,1.0,0.0,20
2022,15,Dutch Grand Prix,GAS,11.0,12.0,11.0,12.0,-1.0,20
2022,15,Dutch Grand Prix,PER,5.0,5.0,5.0,5.0,0.0,20
