Race,lap_distance,driver,lap_time_s,n_corners,corner_speed_median,corner_speed_p10,mean_over_top_speed,full_throttle_share,longest_flat_out,sustained_300,n_sustained_300,sustained_500,n_sustained_500,sustained_700,n_sustained_700,n_braking_zones,braking_share,curvature_median,curvature_p90,direction_changes,n_drs_zones,straight_blend,corner_speed_median_z,straight_blend_z,braking_share_z,curvature_p90_z,measured_season,layout_note
Austrian Grand Prix,4270.0,NOR,63.971,6,0.5484347582581606,0.2943296130125819,0.7993314289615996,0.7192982456140351,0.17681498829039813,0.6100702576112412,5,0.4613583138173302,3,0.17681498829039813,1,6,0.11578947368421053,0.0010726816914651098,0.011296928455019692,4,4,0.07341014904768044,1.60976939275229,0.07341014904768046,-0.422689577207871,-1.0786473676597483,2025,"single season, layout change not detectable"
British Grand Prix,5775.0,VER,84.892,6,0.35650228988910004,0.3096421111146679,0.8248871608948498,0.7465397923875432,0.1471861471861472,0.7073593073593074,6,0.6554112554112554,5,0.6554112554112554,5,7,0.10553633217993079,0.002720630565167693,0.012424525268756235,12,2,0.9751756080865823,-0.5453795609110157,0.9751756080865823,-0.7615392773138803,-0.7516304131376633,2025,"single season, layout change not detectable"
Belgian Grand Prix,6940.0,NOR,100.562,6,0.44315788184775085,0.24381651460162468,0.794341903649345,0.7444204463642908,0.260806916426513,0.6260806916426513,4,0.5641210374639769,3,0.49135446685878964,2,6,0.08999280057595392,0.001665257143076954,0.011959861722545135,13,3,1.1133541876934518,0.42764866055516343,1.1133541876934518,-1.2752277912583516,-0.8863885606494998,2025,"single season, layout change not detectable"
Hungarian Grand Prix,4315.0,NOR,74.89,8,0.3964723667961928,0.3394422528096602,0.7059515262194688,0.5914351851851852,0.12166859791425261,0.29779837775202783,3,0.12166859791425261,1,0.0,0,9,0.1597222222222222,0.003387705957002884,0.017735502184047257,10,3,-2.108888264878511,-0.09656821514889975,-2.108888264878511,1.0292165201306083,0.7886182601628238,2025,"single season, layout change not detectable"
Dutch Grand Prix,4170.0,PIA,68.662,6,0.38702471036117303,0.33916551873849954,0.7327414399422286,0.629940119760479,0.1642685851318945,0.4148681055155875,3,0.3249400479616307,2,0.0,0,9,0.1341317365269461,0.003569442437131854,0.019999413175291327,10,3,-0.7488295087660036,-0.20265295971307407,-0.7488295087660036,0.18349246572328792,1.4451803119944868,2025,"single season, layout change not detectable"
Italian Grand Prix,5710.0,VER,78.792,6,0.5584132278163412,0.2721750691389405,0.8101226260451034,0.820647419072616,0.18563922942206654,0.7425569176882661,5,0.7425569176882661,5,0.6418563922942206,4,6,0.10761154855643044,0.0004796777375327594,0.009318676636462818,10,2,1.6721645944973123,1.7218144699099633,1.6721645944973123,-0.6929567412649559,-1.6523647434995443,2025,"single season, layout change not detectable"
Azerbaijan Grand Prix,5880.0,VER,101.117,9,0.2915605360281362,0.25831098603048175,0.7119488083924376,0.7179269328802039,0.30697278911564624,0.5374149659863946,3,0.5374149659863946,3,0.30697278911564624,1,10,0.16482582837723025,0.000641437823759025,0.012652640187373679,13,3,1.2267120810597634,-1.2745899653403143,1.2267120810597634,1.197882427488057,-0.6854742790846284,2025,"single season, layout change not detectable"
Singapore Grand Prix,4845.0,RUS,89.158,10,0.36247820476512227,0.25495895159714727,0.6955710857806198,0.6061855670103092,0.13209494324045407,0.38390092879256965,4,0.24561403508771928,2,0.0,0,12,0.18453608247422681,0.0019890339076041185,0.016547226172503638,14,4,-1.3673158755525894,-0.47827790374128815,-1.3673158755525894,1.8492743630224238,0.44400359143298185,2025,"single season, layout change not detectable"
United States Grand Prix,5415.0,VER,92.51,8,0.30531507393824,0.2661912348597753,0.7252871789454776,0.6448339483394834,0.1809787626962142,0.5549399815327793,5,0.38411819021237303,3,0.1809787626962142,1,9,0.14206642066420663,0.0030712412917783534,0.01655733143105581,13,3,-0.3285712235273514,-1.120144611529292,-0.3285712235273514,0.44572090948604803,0.44693424078932337,2025,"single season, layout change not detectable"
Mexico City Grand Prix,4210.0,NOR,75.586,8,0.3086524727435723,0.21291782021753977,0.6758738533898225,0.597864768683274,0.24109263657957244,0.47149643705463185,3,0.36104513064133015,2,0.24109263657957244,1,9,0.16488730723606168,0.0012598056397994692,0.017834233515051742,12,3,-0.11650672336508033,-1.0826700164053507,-0.1165067233650803,1.1999142040776216,0.8172515613460801,2025,"single season, layout change not detectable"
São Paulo Grand Prix,4180.0,NOR,69.511,5,0.32910893298512817,0.267919354337905,0.7250898786736648,0.6810035842293907,0.22488038277511962,0.59688995215311,4,0.40789473684210525,2,0.40789473684210525,2,7,0.14217443249701314,0.003790785155109051,0.015104730783342216,6,3,0.05009274410901522,-0.8529708974398654,0.05009274410901524,0.4492905254070913,0.025662174244539124,2025,"single season, layout change not detectable"
Qatar Grand Prix,5335.0,PIA,79.387,8,0.5378869241760751,0.42743030970143137,0.777747799593008,0.7200374531835206,0.22586691658856609,0.569821930646673,5,0.3402061855670103,2,0.22586691658856609,1,7,0.10955056179775281,0.002058970875670365,0.015387565081823767,10,1,-0.317200204681344,1.4913311015210755,-0.317200204681344,-0.6288754979650937,0.10768760194802443,2025,"single season, layout change not detectable"
Abu Dhabi Grand Prix,5200.0,VER,82.207,6,0.36836023104035076,0.2655171820812617,0.7534460413712033,0.7463976945244957,0.1971153846153846,0.6721153846153847,5,0.5144230769230769,3,0.5144230769230769,3,6,0.11335254562920269,0.0013377784243090145,0.014923798629487707,7,2,0.48024913794461677,-0.4122304919604775,0.48024913794461677,-0.5032260976757345,-0.026810377298557984,2025,"single season, layout change not detectable"
