Driver,Team,quali_pos,Race,Round,is_target
HAM,Ferrari,5.0,Canadian Grand Prix,5,False
VER,Red Bull Racing,6.0,Canadian Grand Prix,5,False
HAD,Red Bull Racing,7.0,Canadian Grand Prix,5,False
LEC,Ferrari,8.0,Canadian Grand Prix,5,False
LIN,Racing Bulls,9.0,Canadian Grand Prix,5,False
COL,Alpine,10.0,Canadian Grand Prix,5,False
HUL,Audi,11.0,Canadian Grand Prix,5,False
LAW,Racing Bulls,12.0,Canadian Grand Prix,5,False
BOR,Audi,13.0,Canadian Grand Prix,5,False
GAS,Alpine,14.0,Canadian Grand Prix,5,False
SAI,Williams,15.0,Canadian Grand Prix,5,False
BEA,Haas F1 Team,16.0,Canadian Grand Prix,5,False
OCO,Haas F1 Team,17.0,Canadian Grand Prix,5,False
ALB,Williams,18.0,Canadian Grand Prix,5,False
ALO,Aston Martin,19.0,Canadian Grand Prix,5,False
PER,Cadillac,20.0,Canadian Grand Prix,5,False
STR,Aston Martin,21.0,Canadian Grand Prix,5,False
BOT,Cadillac,22.0,Canadian Grand Prix,5,False
ANT,Mercedes,1.0,Monaco Grand Prix,6,False
VER,Red Bull Racing,2.0,Monaco Grand Prix,6,False
HAM,Ferrari,3.0,Monaco Grand Prix,6,False
LEC,Ferrari,4.0,Monaco Grand Prix,6,False
HAD,Red Bull Racing,5.0,Monaco Grand Prix,6,False
RUS,Mercedes,6.0,Monaco Grand Prix,6,False
PIA,McLaren,7.0,Monaco Grand Prix,6,False
NOR,McLaren,8.0,Monaco Grand Prix,6,False
GAS,Alpine,9.0,Monaco Grand Prix,6,False
LAW,Racing Bulls,10.0,Monaco Grand Prix,6,False
ALB,Williams,11.0,Monaco Grand Prix,6,False
SAI,Williams,12.0,Monaco Grand Prix,6,False
HUL,Audi,13.0,Monaco Grand Prix,6,False
COL,Alpine,14.0,Monaco Grand Prix,6,False
LIN,Racing Bulls,15.0,Monaco Grand Prix,6,False
BOR,Audi,16.0,Monaco Grand Prix,6,False
OCO,Haas F1 Team,17.0,Monaco Grand Prix,6,False
PER,Cadillac,18.0,Monaco Grand Prix,6,False
BEA,Haas F1 Team,19.0,Monaco Grand Prix,6,False
BOT,Cadillac,20.0,Monaco Grand Prix,6,False
ALO,Aston Martin,21.0,Monaco Grand Prix,6,False
STR,Aston Martin,22.0,Monaco Grand Prix,6,False
RUS,Mercedes,1.0,Barcelona Grand Prix,7,False
HAM,Ferrari,2.0,Barcelona Grand Prix,7,False
ANT,Mercedes,3.0,Barcelona Grand Prix,7,False
NOR,McLaren,4.0,Barcelona Grand Prix,7,False
VER,Red Bull Racing,5.0,Barcelona Grand Prix,7,False
