session,Race,Round,Team,is_target,speed_trap_median,n_laps,speed_trap_z
race,Canadian Grand Prix,5,Williams,False,309.0,10,-0.44685268428032865
race,Chinese Grand Prix,2,Alpine,False,314.0,10,-0.6496943158643281
race,Chinese Grand Prix,2,Aston Martin,False,310.5,10,-0.9677264984552589
race,Chinese Grand Prix,2,Audi,False,329.0,5,0.7133007523825183
race,Chinese Grand Prix,2,Cadillac,False,321.0,10,-0.0136299506824664
race,Chinese Grand Prix,2,Ferrari,False,315.0,10,-0.558827977981205
race,Chinese Grand Prix,2,Haas F1 Team,False,332.0,10,0.9858997660318877
race,Chinese Grand Prix,2,Mercedes,False,311.0,10,-0.9222933295136974
race,Chinese Grand Prix,2,Racing Bulls,False,318.0,10,-0.2862289643318357
race,Chinese Grand Prix,2,Red Bull Racing,False,316.0,10,-0.4679616400980819
race,Chinese Grand Prix,2,Williams,False,345.0,5,2.167162158512488
race,Dutch Grand Prix,12,Alpine,False,211.0,10,-0.8765913197633104
race,Dutch Grand Prix,12,Aston Martin,False,221.0,10,0.6068709136822924
race,Dutch Grand Prix,12,Audi,False,220.5,10,0.5326978020100123
race,Dutch Grand Prix,12,Cadillac,False,216.0,9,-0.13486020304050897
race,Dutch Grand Prix,12,Ferrari,False,218.5,10,0.23600535532089173
race,Dutch Grand Prix,12,Haas F1 Team,False,206.0,7,-1.6183224364861117
race,Dutch Grand Prix,12,McLaren,False,215.0,10,-0.28320642638506927
race,Dutch Grand Prix,12,Mercedes,False,218.0,10,0.1618322436486116
race,Dutch Grand Prix,12,Racing Bulls,False,223.0,10,0.903563360371413
race,Dutch Grand Prix,12,Red Bull Racing,False,229.0,5,1.7936407004387747
race,Dutch Grand Prix,12,Williams,False,208.0,10,-1.3216299897969912
race,Hungarian Grand Prix,11,Alpine,False,330.5,10,0.938927850118481
race,Hungarian Grand Prix,11,Aston Martin,False,325.0,10,-0.1640844786614809
race,Hungarian Grand Prix,11,Audi,False,325.5,10,-0.06381063059057528
race,Hungarian Grand Prix,11,Cadillac,False,327.0,9,0.2370109136221416
race,Hungarian Grand Prix,11,Ferrari,False,330.5,10,0.938927850118481
race,Hungarian Grand Prix,11,Haas F1 Team,False,329.0,10,0.6381063059057641
race,Hungarian Grand Prix,11,McLaren,False,317.5,10,-1.6681921997250653
race,Hungarian Grand Prix,11,Mercedes,False,334.0,10,1.6408447866148204
race,Hungarian Grand Prix,11,Racing Bulls,False,320.0,10,-1.1668229593705373
race,Hungarian Grand Prix,11,Red Bull Racing,False,322.0,10,-0.7657275670869147
race,Hungarian Grand Prix,11,Williams,False,323.0,10,-0.5651798709451034
race,Japanese Grand Prix,3,Alpine,False,288.5,10,0.3787781186034117
race,Japanese Grand Prix,3,Aston Martin,False,278.5,10,-2.002112912618072
race,Japanese Grand Prix,3,Audi,False,290.0,10,0.7359117732866343
race,Japanese Grand Prix,3,Cadillac,False,288.5,10,0.3787781186034117
race,Japanese Grand Prix,3,Ferrari,False,285.0,10,-0.4545337423241076
race,Japanese Grand Prix,3,Haas F1 Team,False,285.0,10,-0.4545337423241076
race,Japanese Grand Prix,3,McLaren,False,281.0,10,-1.406890154812701
race,Japanese Grand Prix,3,Mercedes,False,290.5,10,0.8549563248477084
race,Japanese Grand Prix,3,Racing Bulls,False,289.0,10,0.4978226701644859
race,Japanese Grand Prix,3,Red Bull Racing,False,287.5,10,0.14068901548126334
race,Japanese Grand Prix,3,Williams,False,292.5,10,1.331134531092005
race,Miami Grand Prix,4,Alpine,False,309.0,9,0.41125491658183294
race,Miami Grand Prix,4,Aston Martin,False,298.0,10,-0.8646898246079509
race,Miami Grand Prix,4,Audi,False,291.5,10,-1.6186571716746414
race,Miami Grand Prix,4,Cadillac,False,292.5,10,-1.5026621952028427
race,Miami Grand Prix,4,Ferrari,False,300.0,10,-0.6326998716643538
race,Miami Grand Prix,4,Haas F1 Team,False,311.5,10,0.7012423577613293
race,Miami Grand Prix,4,McLaren,False,315.0,10,1.107224775412624
race,Miami Grand Prix,4,Mercedes,False,314.5,10,1.049227287176725
race,Miami Grand Prix,4,Racing Bulls,False,305.5,10,0.005272498930538095
race,Miami Grand Prix,4,Red Bull Racing,False,313.0,9,0.8752348224690271
race,Miami Grand Prix,4,Williams,False,309.5,10,0.4692524048177322
race,Monaco Grand Prix,6,Alpine,False,271.5,10,0.7137783036336487
race,Monaco Grand Prix,6,Aston Martin,False,262.0,10,-1.1987815099488117
race,Monaco Grand Prix,6,Audi,False,273.5,10,1.1164224749141667
race,Monaco Grand Prix,6,Cadillac,False,258.0,10,-2.004069852509848
race,Monaco Grand Prix,6,Ferrari,False,266.0,10,-0.39349316738777584
race,Monaco Grand Prix,6,Haas F1 Team,False,270.5,10,0.5124562179933897
race,Monaco Grand Prix,6,McLaren,False,268.0,10,0.009151003892742166
race,Monaco Grand Prix,6,Mercedes,False,266.0,10,-0.39349316738777584
race,Monaco Grand Prix,6,Racing Bulls,False,275.0,10,1.4184056033745551
race,Monaco Grand Prix,6,Red Bull Racing,False,267.0,5,-0.19217108174751682
race,Monaco Grand Prix,6,Williams,False,270.0,10,0.41179517517326014
